ResourceID,name_of_consultation,date_logged,consult_type,development_type,application_type,consult_status,condition_type,condition_description,communication_date,communication_type,communication_notes,planning_outcome,audit_outcome,geometry
aa7ecf38-ab81-4e08-bb74-cfdd1e339ea2,Consultation for 93 Mendota Alley,2019-02-25,Post-Application,Mixed Use,Enquiry,Dormant,Building Engagement,Fusce consequat. Nulla nisl. Nunc nisl.,13/08/2018,Mail,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Implemented,Leave,POINT (-0.091608369835874 51.5293783480716)
2cf195f8-805b-4f97-9133-cbd94bf5a01f,Consultation for 57359 Fieldstone Way,2018-10-26,Condition Application,Land restoration,Listed Building Consent,Completed,Building Engagement,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",18/11/2018,Mail,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",No outcome,Leave,POINT (-0.090902276862093 51.5336424265997)
eefa863a-53e4-404a-89b4-6213b46b2b55,Consultation for 3660 Kim Court,2018-11-17,Post-Application,Road construction,Listed Building Consent,Aborted,Building Recording,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",03/03/2019,Mail,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",No outcome,Information Unavailable,POINT (-0.088202575103317 51.5333478406975)
6d0afe5a-50c1-408d-917c-2de95af66aac,Consultation for 3120 North Pass,2018-10-04,Condition Application,Road construction,Enquiry,Post-excavation assessment,Agree WSI,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",16/01/2019,Email,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,No outcome,Extended Deadline,POINT (-0.088346147559405 51.5336622556261)
24b125e7-690c-44bc-af82-683f4efb5bdd,Consultation for 0073 Pawling Way,2018-08-21,Post-Application,Mixed Use,Prior Approval,Pre-decision assessment/evaluation,Building Recording,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",29/08/2018,Telephone,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Implemented,Admin error,POINT (-0.094019641872861 51.5299240371073)
71a6c731-f37d-4fe3-bf75-e8b4fcd0f179,Consultation for 2662 Old Shore Street,2018-09-18,Condition Application,Road construction,Enquiry,Completed,Building Recording,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,10/07/2019,Telephone,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Approved - with watching brief condition,Admin error,POINT (-0.094761765171212 51.531717405735)
388b72c6-854a-44f0-9d15-6278326eab7d,Consultation for 0809 Burrows Court,2018-08-25,Pre-Application,Building alteration,Enquiry,Post-excavation assessment,Building Engagement,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,16/08/2018,Mail,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Approved - with legal agreement,Leave,POINT (-0.092447578016091 51.5335331454622)
0b294660-2fa7-48a0-962a-2f994f3318f0,Consultation for 12389 Buhler Crossing,2018-12-31,Post-Application,Road construction,Enquiry,Dormant,Building Recording,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",08/06/2019,Mail,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,Implemented,Extended Deadline,POINT (-0.088554838984742 51.5230316043482)
868653e1-af47-4573-8263-bbdb62680209,Consultation for 49417 Eliot Avenue,2018-10-04,Condition Application,Road construction,Enquiry,Pre-decision assessment/evaluation,Building Recording,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",20/01/2019,Mail,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,No outcome,Extended Deadline,POINT (-0.11219799708098 51.5178563166892)
a8fcd70e-64a1-4950-9570-ee8f586eb8bd,Consultation for 82 Jackson Parkway,2019-01-16,Post-Application,Building alteration,Enquiry,Pre-decision assessment/evaluation,Agree WSI,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",12/02/2019,Email,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Approved - with full condition,Admin error,POINT (-0.111502063383008 51.5171066487349)
012d11b3-5566-41f3-8541-63f39928ce72,Consultation for 62 Sugar Park,2019-02-12,Pre-Application,Building alteration,Prior Approval,Completed,Building Recording,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,01/02/2019,Telephone,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Approved - with full condition,Extended Deadline,POINT (-0.084449525096314 51.51872923442)
5103d7ef-1229-43f3-9060-4bc3b176aabe,Consultation for 0647 Clyde Gallagher Court,2018-11-16,Pre-Application,Land restoration,Prior Approval,Post-excavation assessment,Agree WSI,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",25/07/2018,Telephone,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,Approved - with legal agreement,Extended Deadline,POINT (-0.098372086933521 51.5329367245569)
e11a030f-5421-4c9c-8324-169d866f23c2,Consultation for 76 Manley Crossing,2019-05-11,Post-Application,Mixed Use,Prior Approval,Mitigation,Building Engagement,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",22/09/2018,Email,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Approved - with legal agreement,Admin error,POINT (-0.098101363473401 51.5334183561159)
952bcb04-551d-45a5-a607-c709def4604d,Consultation for 2 Larry Plaza,2018-11-20,Pre-Application,Road construction,Prior Approval,Post-excavation assessment,Agree WSI,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",16/08/2018,Mail,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,No outcome,Leave,POINT (-0.096315068138154 51.5317097042158)
9290a2f0-acb9-4ad4-ac83-998bb1b0f15f,Consultation for 742 Elmside Drive,2018-11-27,Condition Application,Road construction,Appeal,Aborted,Building Recording,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",02/08/2018,Mail,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Approved - with full condition,Extended Deadline,POINT (-0.099312455358959 51.5283884079711)
b6695f47-8d5c-47a5-8694-37c5fd44d519,Consultation for 9549 Thompson Pass,2019-03-03,Post-Application,Mixed Use,Listed Building Consent,Post-excavation assessment,Building Recording,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,24/04/2019,Mail,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Approved - with full condition,Admin error,POINT (-0.097762233646486 51.529198117217)
d337d689-09b9-4648-b6af-33ae3b17f1d9,Consultation for 830 Fairfield Street,2018-09-08,Post-Application,Road construction,Enquiry,Dormant,Building Recording,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,08/06/2019,Mail,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Approved - with watching brief condition,Further Information Required,POINT (-0.098563074311829 51.530433687268)
0ed19240-b14f-4ff6-b4f1-cd03c124179c,Consultation for 048 Dottie Hill,2018-12-04,Condition Application,Building alteration,Prior Approval,Aborted,Agree WSI,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,19/12/2018,Mail,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Approved - with legal agreement,IT Failure,POINT (-0.09924801952286 51.5307664567436)
199de910-85d7-4dae-bb0a-7d3979379027,Consultation for 95 Darwin Court,2018-11-26,Post-Application,Building alteration,Enquiry,Dormant,Building Engagement,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,02/10/2018,Mail,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Implemented,Admin error,POINT (-0.100851839253506 51.5309244623431)
f2693046-6b0f-4201-b24f-622a42a37059,Consultation for 8 Commercial Park,2018-11-30,Post-Application,Building alteration,Appeal,Pre-decision assessment/evaluation,Building Engagement,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,26/02/2019,Email,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Approved - with legal agreement,Admin error,POINT (-0.102467576733973 51.5338438243708)
b28b7dea-fb37-4692-8de6-624dcb504423,Consultation for 62 Beilfuss Road,2019-03-08,Post-Application,Mixed Use,Appeal,Pre-decision assessment/evaluation,Agree WSI,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",09/02/2019,Mail,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Approved - with full condition,IT Failure,POINT (-0.101335011007129 51.5335027512984)
375bd4b4-5b8d-41c9-a3be-a7beeafd3a34,Consultation for 63 Darwin Way,2019-05-04,Pre-Application,Road construction,Appeal,Pre-decision assessment/evaluation,Building Engagement,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",14/04/2019,Email,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Approved - with watching brief condition,Leave,POINT (-0.101883187009712 51.532394330997)
4c9f6091-0481-494a-aea4-2457f1929770,Consultation for 74 Farwell Crossing,2018-09-18,Pre-Application,Mixed Use,Listed Building Consent,Post-excavation assessment,Agree WSI,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",01/11/2018,Mail,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Approved - with watching brief condition,Information Unavailable,POINT (-0.100430821004971 51.5322002645623)
44be0323-4827-44a6-8a42-ad3b931abf7f,Consultation for 923 Transport Center,2019-03-25,Post-Application,Road construction,Listed Building Consent,Aborted,Building Engagement,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",07/12/2018,Mail,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Implemented,Extended Deadline,POINT (-0.100262122696365 51.5330471816466)
cae2cac8-3223-4372-aea8-0e1965a3f764,Consultation for 32452 Melby Street,2018-12-06,Post-Application,Land restoration,Enquiry,Mitigation,Building Engagement,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,03/11/2018,Email,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,No outcome,Admin error,POINT (-0.100231610617581 51.5318228755972)
b2407160-1d26-4c13-abbd-117bf8946d75,Consultation for 0550 Sutteridge Road,2019-02-26,Condition Application,Building alteration,Appeal,Post-excavation assessment,Agree WSI,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",26/03/2019,Email,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Implemented,IT Failure,POINT (-0.103524188333776 51.5282527083549)
